OBJECTID,PARK_CAT,TMK,PARK_TYPE,PARK_NAME,MAIN_DIST,LINK_ID,NAME,LEGAL_ACRES,DEDICATED,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,ShapeSTArea,ShapeSTLength
327,1,39028025,Beach ROW,Hanapepe Loop,1,261,Hanapepe Loop,0.03,,{5B790ECE-E436-46FD-B762-9A26A6955F90},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,1748.93893051147,393.363622093366
328,1,71009064,Neighborhood Park,Kahi Kani Neighborhood Park,3,363,Kahi Kani Neighborhood Park,2.6400001,,{0DB9EF58-9387-4C92-AE9A-14C159D15482},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,117537.376678467,1370.69366479744
329,1,94007038,Neighborhood Park,"Mitsuo ""Mits"" Shito Waikele Neighborhood Park",3,378,"Mitsuo ""Mits"" Shito Waikele Neighborhood Park",5,,{DC99B4D9-32AF-4B95-91B8-51F3693F1BF8},mpc,2013-07-08T12:31:04.000Z,gmasaki,2015-06-17T10:49:54.000Z,218093.927581787,1819.4849101754
330,1,61004091,Beach ROW,Papailoa Road,4,275,Papailoa Road,0.05,,{2C82DC86-84E1-426C-8A77-897B76A0457A},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,2809.42753601074,534.701888418484
331,1,91016056,Community Park,Kapolei Community Park,3,388,Kapolei Community Park,12,,{CB8D8715-40CC-4D50-A3A5-AF179EC5657D},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,522889.363815308,3017.5273364365
332,1,44021054,Beach Park,Kaneohe Bay Beach Remnant,4,355,Kaneohe Bay Beach Remnant,0.13,,{3176F4F0-73A3-451B-A563-758B0E6D2836},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,2414.76930236816,379.326926921457
333,1,47010017,Neighborhood Park,Laenani Neighborhood Park,4,98,Laenani Neighborhood Park,1.37,,{D00A8576-45C8-4C74-B5B6-A8A1DAA8C100},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,57936.4260406494,1019.17511510465
334,1,84001008,Miscellaneous,Mauna Lahilahi Cultural Garden,3,362,Mauna Lahilahi Cultural Garden,14.30000019,,{EE6EAEF7-AEC7-4E14-AE2E-CE425F66803B},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,299379.78237915,3269.44144533433
335,1,92003015,Beach Park,Kahe Point Beach Park,3,105,Kahe Point Beach Park,4.46999979,,{C631D344-F4E5-4F98-A319-1476A61D9C04},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,203434.50138092,3867.77284402809
336,1,84025011,Community Park,Makaha Community Park,3,125,Makaha Community Park,4.32000017,,{29341C9E-407D-44F6-8A6E-E5DFFB17CE5F},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,176553.455963135,1831.33411871298
