objectid,unit_name,gis_acres,mammal_uni,bird_unit,status,descriptio,game_desig,note_,note_cont,island,linkto_isl,linktoadmi,linktoad_1,linktoad_2,st_areashape,st_lengthshape
23,Unit G,5272.09609251,G,No Hunting,Hunting Area (Mammal ONLY),Portions of Na Pali Coast SWP & Hono O Na Pali NAR,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,21335415.9314862,0
11,Unit B and 2,1429.18389653,B,2,Hunting Area (Mammal and Bird),Makua Keaau FR and Makua Keaau Public Hunting Area,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,5783702.03046686,0
68,No Hunting,21.86477044,No Hunting,No Hunting,No Hunting,No-Hunting TNC Preserve,No Hunting,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Lanai,http://dlnr.hawaii.gov/recreation/hunting/hunt-lanai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,88483.586671767,0
12,Unit C,1173.74272287,C,No Hunting,Hunting Area (Mammal ONLY),Waianae Kai F.R. (Kumaipo Sec.) aka: Lion Country,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,4749968.27630418,0
13,Unit E,779.24553072,E,No Hunting,Hunting Area (Mammal ONLY),Subunit1 (Mammal: Archery ONLY),Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,3153494.78062512,0
24,Safety Zone,1.2147779,Safety Zone,Safety Zone,Safety Zone,Safety Zone extending to ocean,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,4916.0317314731,0
69,No Hunting,28.22262816,No Hunting,No Hunting,No Hunting,No-Hunting TNC Preserve,No Hunting,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Lanai,http://dlnr.hawaii.gov/recreation/hunting/hunt-lanai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,114212.924011651,0
14,Unit E,974.83672232,E,No Hunting,Hunting Area (Mammal ONLY),Subunit2 (Mammal: Archery ONLY),Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,3945024.25049598,0
30,Safety Zone,27.04809411,Safety Zone,Safety Zone,Safety Zone,Safety Zone Nualolo Kai Beach,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,109459.753347399,0
31,Unit K,57.72975928,K,No Hunting,Hunting Area (Mammal ONLY),Kalalau Rim Sec. btwn G & H Units (Kalepa Ridge),Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,233624.047123553,0
