objectid,unit_name,gis_acres,mammal_uni,bird_unit,status,descriptio,game_desig,note_,note_cont,island,linkto_isl,linktoadmi,linktoad_1,linktoad_2,st_areashape,st_lengthshape
35,No Hunting,34.85386895,No Hunting,No Hunting,No Hunting,No-Hunting Kokee State Park,No Hunting,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,141048.603424845,0
36,Safety Zone,37.53932583,Safety Zone,Safety Zone,Safety Zone,Safety Zone,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,151916.261844436,0
47,Unit K,533.59563453,K,No Hunting,Hunting Area (Mammal ONLY),Safety Zone 0.5 mi (800m) wide al'g St Pk for Bird,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,2159384.92055429,0
37,Safety Zone,31.53256724,Safety Zone,Safety Zone,Safety Zone,Safety Zone 300 yards (275m) from Visitor Lookout,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,127607.772262589,0
38,No Hunting,2599.91476587,No Hunting,No Hunting,No Hunting,No-Hunting 400 yards (370m) W of Hwy /State Parks,No Hunting,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,10521481.7679444,0
39,Unit D,1804.66628451,D,No Hunting,Hunting Area (Mammal ONLY),No-Hunting Kokee State Park for Game Birds,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,7303225.34377018,0
48,Unit I,1695.50344485,No Hunting,I,Hunting Area (Bird ONLY),Wailua G.M.A.,Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf, ,6861459.00500441,0
40,Safety Zone,43.08998324,Safety Zone,Safety Zone,Safety Zone,Safety Zone 300 yards (275m) from Visitor Lookout,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,174378.975420853,0
41,Safety Zone,205.59808775,Safety Zone,Safety Zone,Safety Zone,Safety Zone Makaha Ridge Military Reservation,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,832025.941833551,0
42,Unit B,15354.0352834,B,B,Hunting Area (Mammal and Bird),Portions of Puu Ka Pele F.R. & Na Pali-Kona F.R.,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,62135576.2963547,0
43,Unit C,13403.9902079,C,No Hunting,Hunting Area (Mammal ONLY),Portions of Kealia F.R.,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,54244023.8585078,0
44,Unit A,18535.4237842,A,A,Hunting Area (Mammal and Bird),Portions of Puu Ka Pele F.R. & Kekaha G.M.A.,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,75010198.7829791,0
45,Unit J,1081.24641871,J,J,Hunting Area (Mammal and Bird),Portions of Puu Ka Pele FR & Waimea Canyon SP,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,4375649.01377223,0
46,Safety Zone,174.08016127,Safety Zone,Safety Zone,Safety Zone,Safety Zone 0.5 mile (800m) wide along Kokee Road,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,704477.418642641,0
51,Safety Zone,223.80605286,Safety Zone,Safety Zone,Safety Zone,Safety Zone 500 yds (460m) Waimea C. Lookout,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,905710.962401101,0
52,Unit K,385.12107994,K,No Hunting,Hunting Area (Mammal ONLY),Safety Zone 0.5 mi (800m) wide al'g St Pk for Bird,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,1558529.71573654,0
53,Unit E2,9303.33684238,E2,E2,Hunting Area (Mammal and Bird),Portions of Na Pali-Kona F.R. & Alakai Wilderness*,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,37649268.4503475,0
60,Safety Zone,9.39489387,Safety Zone,Safety Zone,Safety Zone,Safety Zone 300 yards (275m) from Visitor Lookout,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,38019.7866101196,0
61,Safety Zone,464.68404373,Safety Zone,Safety Zone,Safety Zone (NO HUNTING),300 Foot Wide Safety Zone along shore,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Lanai,http://dlnr.hawaii.gov/recreation/hunting/hunt-lanai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,1880509.60674868,0
62,No Hunting,368.92542055,No Hunting,No Hunting,No Hunting,No-Hunting TNC Preserve,No Hunting,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Lanai,http://dlnr.hawaii.gov/recreation/hunting/hunt-lanai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,1492988.20754824,0
54,Unit J,182.43729359,J,J,Hunting Area (Mammal and Bird),Portions of Puu Ka Pele FR & Waimea Canyon SP,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,738297.533260061,0
55,Unit F,2631.65359883,F,F,Hunting Area (Mammal and Bird),"Mokihana Ridge, State-lands w/in Waimea Canyon",Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,10649924.2679526,0
56,Unit L,3731.59123105,L,L,Hunting Area (Mammal and Bird),Portions of land btwn Kokee & Waimea Canyon Rds.,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,15101213.939136,0
63,No Hunting,94.96574159,No Hunting,No Hunting,No Hunting,No-Hunting TNC Preserve,No Hunting,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Lanai,http://dlnr.hawaii.gov/recreation/hunting/hunt-lanai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,384312.721256745,0
64,No Hunting,32.68129071,No Hunting,No Hunting,No Hunting,No-Hunting TNC Preserve,No Hunting,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Lanai,http://dlnr.hawaii.gov/recreation/hunting/hunt-lanai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,132256.491217921,0
57,Safety Zone,25.07188138,Safety Zone,Safety Zone,Safety Zone,Safety Zone 200 yards (180m) from Power House,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,101462.304179922,0
65,Safety Zone,84.55845687,Safety Zone,Safety Zone,Safety Zone (NO HUNTING),500 Foot Wide Safety Zone each side,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Lanai,http://dlnr.hawaii.gov/recreation/hunting/hunt-lanai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,342195.9342602,0
66,No Hunting,11.40497354,No Hunting,No Hunting,No Hunting,No-Hunting TNC Preserve,No Hunting,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Lanai,http://dlnr.hawaii.gov/recreation/hunting/hunt-lanai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,46154.2904152317,0
58,Safety Zone,25.07177936,Safety Zone,Safety Zone,Safety Zone,Safety Zone 200 yards (180m) from Camp Ground,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,101461.891308371,0
59,Safety Zone,1.65352001,Safety Zone,Safety Zone,Safety Zone,Safety Zone 300 yards (275m) from Visitor Lookout,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,6691.55805631747,0
67,No Hunting,10.95874212,No Hunting,No Hunting,No Hunting,No-Hunting TNC Preserve,No Hunting,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Lanai,http://dlnr.hawaii.gov/recreation/hunting/hunt-lanai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,44348.455926908,0
72,Unit 3,792.56089673,Unit 3,Unit 3,Hunting Area (Mammal and Bird),Unit 3 (Mammmal: Archery only),Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Lanai,http://dlnr.hawaii.gov/recreation/hunting/hunt-lanai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,3207380.15508927,0
113,CLOSED SECTION,232.89700693,No Hunting,No Hunting,CLOSED,CLOSED SECTION,CLOSED,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Hawaii,http://dlnr.hawaii.gov/recreation/hunting/hawaiiisland/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,942500.748234109,0
73,Safety Zone,191.84758439,Safety Zone,Safety Zone,Safety Zone (NO HUNTING),500' Safety Zone N of road,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Lanai,http://dlnr.hawaii.gov/recreation/hunting/hunt-lanai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,776379.628992903,0
75,Safety Zone,53.71432035,Safety Zone,Safety Zone,Safety Zone (NO HUNTING),50' Safety Zone both sides of road,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Lanai,http://dlnr.hawaii.gov/recreation/hunting/hunt-lanai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,217374.142286315,0
74,Safety Zone,269.79534387,Safety Zone,Safety Zone,Safety Zone (NO HUNTING),500' Safety Zone N of road,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Lanai,http://dlnr.hawaii.gov/recreation/hunting/hunt-lanai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,1091823.02006705,0
80,No Hunting,99.05678079,No Hunting,No Hunting,No Hunting,No-Hunting Area,No Hunting,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Molokai,http://dlnr.hawaii.gov/recreation/hunting/hunt-molokai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,400868.569519609,0
81,No Hunting,31.48866887,No Hunting,No Hunting,No Hunting,No-Hunting Area,No Hunting,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Molokai,http://dlnr.hawaii.gov/recreation/hunting/hunt-molokai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,127430.121855567,0
82,No Hunting,1.56255492,No Hunting,No Hunting,No Hunting,No-Hunting Area,No Hunting,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Molokai,http://dlnr.hawaii.gov/recreation/hunting/hunt-molokai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,6323.43540596047,0
76,Unit C,1521.16475842,C,C,Hunting Area (Mammal and Bird),Portions of Molokai F.R. within Kalawao county,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Molokai,http://dlnr.hawaii.gov/recreation/hunting/hunt-molokai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,6155935.37212446,0
77,Unit B,6295.11897652,B,No Hunting,Hunting Area (Mammal ONLY),Portions of Molokai F.R.,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Molokai,http://dlnr.hawaii.gov/recreation/hunting/hunt-molokai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,25475442.6599098,0
78,No Hunting,0.70346317,No Hunting,No Hunting,No Hunting,No-Hunting Area,No Hunting,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Molokai,http://dlnr.hawaii.gov/recreation/hunting/hunt-molokai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,2846.81446259264,0
79,No Hunting,3.92486143,No Hunting,No Hunting,No Hunting,No-Hunting Area,No Hunting,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Molokai,http://dlnr.hawaii.gov/recreation/hunting/hunt-molokai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,15883.3506756124,0
83,Unit A,1211.39584382,A,No Hunting,Hunting Area (Mammal ONLY),Molokai F.R. (Portions of Keopukaloa & Honouliwai),Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Molokai,http://dlnr.hawaii.gov/recreation/hunting/hunt-molokai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,4902345.05064716,0
84,No Hunting,200.98254648,No Hunting,No Hunting,No Hunting,No-Hunting Area,No Hunting,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Molokai,http://dlnr.hawaii.gov/recreation/hunting/hunt-molokai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,813347.509008974,0
85,Unit D,2864.51695644,D,D,Hunting Area (Mammal and Bird),Portions of Molokai F.R.,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Molokai,http://dlnr.hawaii.gov/recreation/hunting/hunt-molokai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,11592288.8422232,0
86,Safety Zone,158.9979744,Safety Zone,Safety Zone,Safety Zone (NO HUNTING),500-foot wide Safety Zone,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Molokai,http://dlnr.hawaii.gov/recreation/hunting/hunt-molokai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,643441.973863177,0
118,Unit B,2701.09839439,B,B,Hunting Area (Mammal and Bird),S. Kona F.R. (Kapua-Manuka Sec.) AKA: Honomalino,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Hawaii,http://dlnr.hawaii.gov/recreation/hunting/hawaiiisland/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,10930957.3848831,0
87,Unit E,1653.97164315,E,E,Hunting Area (Mammal and Bird),Portions of Molokai F.R.,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Molokai,http://dlnr.hawaii.gov/recreation/hunting/hunt-molokai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,6693385.76653545,0
94,Unit A,269.54118425,A,No Hunting,Hunting Area (Mammal ONLY),Portions of West Maui F.R.,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Maui,http://dlnr.hawaii.gov/recreation/hunting/hunt-maui/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,1090794.4725705,0
95,Unit B,30210.3304235,B,No Hunting,Hunting Area (Mammal ONLY),Portions of Koolau F.R.,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Maui,http://dlnr.hawaii.gov/recreation/hunting/hunt-maui/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,122256869.697223,0
