X,Y,objectid,name,own,tmk,type
-157.849680356776076,21.318006276623862,642,Auwaiolimu Neighborhood Park,City,22008059,neighborhood
-157.858743025549273,21.317589272619934,643,Kauluwela Mall,City,17023033,mall
-157.862215143200558,21.31725146371943,644,Beretania Community Park,City,17026008,community
-157.661472892144133,21.314095503287543,645,Makapuu Beach Park,State,41014005,beach
-157.857759735033767,21.316331406991946,646,Foster Botanical Garden,City,17007001,botantical garden
-157.821238924238173,21.314482548312732,647,Puu Ualakaa State Wayside,State,,wayside
-157.840599060271444,21.31723925526116,648,Papakolea Community Park,State,22015025,community
-157.829413321095984,21.314083453955458,649,Makiki Tantalus State Park,State,,State
-157.808675420161791,21.314019043772849,650,Manoa Valley District Park,City,29036003,district
-157.860501322413711,21.315629572877185,651,College Walk Mall,Other,17026,mall
-157.860365448408032,21.315199545045836,652,River Street/Sun Yet Sen Mall,Other,17026,mall
-157.863574864143345,21.315243865793544,653,Aala Park,City,17027002,sq/ente/tri/prom
-157.861419173120396,21.315685480410309,654,Kila Kalikimaka Mall,City,17026017,mall
-157.863248999381938,21.314523473698824,655,Aala Park,State,17027001,sq/ente/tri/prom
-158.007450566501205,21.313749577260225,656,Ewa Beach Community Park,City,91001010,community
-157.99180076140334,21.314505557545839,657,Ewa Beach Park,City,91005004,beach
-157.854687596486599,21.31264501722486,658,Kamamalu Neighborhood Park,City,21005001,neighborhood
-157.655632252246818,21.30937173548369,659,Makapuu Beach Park,State,41014002,beach
-157.862795305528607,21.31350184098806,660,Pauahi Recreation Center,City,17003099,community
-157.995453623355985,21.313965006505644,661,Ewa Beach Road J,Other,91023,road
-157.99382769581598,21.313548726624152,662,Ewa Beach Road L,Other,91023,road
-157.86365705034541,21.31278044893147,663,Kekaulike Street Mall,Other,17003,mall
-157.99832762773886,21.313293275068503,664,Ewa Beach Road H,Other,91023,road
-157.861077655758947,21.31230451769186,665,Smith-Beretania Park,City,17004004,sq/ente/tri/prom
-157.995254568647567,21.313195869045067,666,Ewa Beach Road K,Other,91023,road
-157.650559447642564,21.308481795790239,667,Makapuu Point State Wayside,State,,wayside
-157.999766440397536,21.312956290579542,668,Ewa Beach Road F,Other,91024,road
-158.001197491265884,21.312607951875936,669,Ewa Beach Road D,Other,91024,road
-157.998131524480613,21.312530930164701,670,Ewa Beach Road I,Other,91023,road
-157.841271681993391,21.311234108947154,671,Stevenson Recreation Center,State,24033013,community
-157.858581833571492,21.311386455505652,672,Kamalii Mini Park,City,21009027,mini
-158.002927024658845,21.312227495219815,673,Ewa Beach Road B,Other,91006,road
-157.999563299321977,21.312164542872317,674,Ewa Beach Road G,Other,91024,road
-157.860279079432502,21.310535247988394,675,Fort Street Mall,Other,21010,mall
-158.001003197659003,21.311843361967966,676,Ewa Beach Road E,Other,91024,road
-157.85945015036998,21.310985830995786,677,Fort Street Mall Mini Park,City,21010025,mini
