X,Y,objectid,feature_id,elev_in_m,elev_in_ft,map_name,feature_name,feature_class,state_alpha,state_numeric,county_name,county_numeric,primary_lat_dms,prim_long_dms,prim_lat_dec,prim_long_dec,source_lat_dms,source_long_dms,source_lat_dec,source_long_dec,date_created,date_edited
-157.860410253225211,21.326735111461829,3389,361715,21,69,Honolulu,Lanakila Elementary School,School,HI,15,Honolulu,3,211936N,1575138W,21.3266205,-157.8605355,,,,,2003-09-30T00:00:00.000Z,2018-05-18T00:00:00.000Z
-156.006401417642365,19.642517454776034,3390,361716,3,10,Keahole Point,Lanihau,Civil,HI,15,Hawaii,1,193833N,1560023W,19.6425,-156.0063889,,,,,1981-02-06T00:00:00.000Z,
-155.97887471303801,19.656677812469912,3391,361717,201,659,Kailua,Lanihau One-Two,Civil,HI,15,Hawaii,1,193924N,1555844W,19.6566667,-155.9788889,,,,,1981-02-06T00:00:00.000Z,
-157.714903951320366,21.388929663057244,3392,361718,4,13,Mokapu Point,Lanikai,Populated Place,HI,15,Honolulu,3,212320N,1574254W,21.3888019,-157.7149024,,,,,1981-02-06T00:00:00.000Z,2012-10-03T00:00:00.000Z
-157.725889993195096,21.393934580738716,3393,361719,3,10,Mokapu Point,Lanikai Public Charter School,School,HI,15,Honolulu,3,212338N,1574333W,21.3939175,-157.7258614,,,,,2003-09-30T00:00:00.000Z,2018-03-27T00:00:00.000Z
-156.059871997760638,20.810740089858406,3394,361720,33,108,Hana,Lanikele,Cape,HI,15,Maui,9,204838N,1560336W,20.8106809,-156.0599327,,,,,2003-09-30T00:00:00.000Z,2012-08-28T00:00:00.000Z
-156.059994073786157,20.811106304150655,3395,361721,-1,-3,Hana,Lanikele Gulch,Valley,HI,15,Maui,9,204840N,1560336W,20.8109897,-156.0600629,204706N,1560434W,20.785060,-156.076165,2003-09-30T00:00:00.000Z,2016-10-14T00:00:00.000Z
-155.703610212139495,20.055120093129911,3396,361722,1213,3980,Kamuela,Lanikepu,Civil,HI,15,Hawaii,1,200318N,1554213W,20.055,-155.7036111,,,,,1981-02-06T00:00:00.000Z,
-155.71520656984751,20.026921400286529,3397,361723,664,2178,Kamuela,Lanikepu Valley,Valley,HI,15,Hawaii,1,200137N,1554255W,20.0268453,-155.7152781,200303N,1554151W,20.050787,-155.697550,1981-02-06T00:00:00.000Z,2016-10-25T00:00:00.000Z
-156.551214519139279,20.947094274220785,3398,361724,782,2566,Wailuku,Lanilili,Summit,HI,15,Maui,9,205649N,1563305W,20.9469317,-156.5512919,,,,,1981-02-06T00:00:00.000Z,2012-10-30T00:00:00.000Z
-157.917905298226714,21.648328986192915,3399,361725,11,36,Kahuku,Laniloa,Cape,HI,15,Honolulu,3,213854N,1575505W,21.6482143,-157.9179525,,,,,1981-02-06T00:00:00.000Z,2012-11-02T00:00:00.000Z
-155.661007589796526,20.019292282941848,3400,361726,830,2723,Kamuela,Lanimaumau Stream,Stream,HI,15,Hawaii,1,200109N,1553940W,20.0192221,-155.6611204,200239N,1553850W,20.044119,-155.647087,1981-02-06T00:00:00.000Z,2013-03-26T00:00:00.000Z
-156.876112046572814,21.14112473156014,3401,361727,153,502,Kamalo,Lanipuni Stream,Stream,HI,15,Maui,9,210828N,1565234W,21.141109,-156.8761396,210802N,1565128W,21.133784,-156.857643,2003-09-30T00:00:00.000Z,2012-08-16T00:00:00.000Z
-156.979014930943748,20.919689839522793,3402,361728,36,118,Lanai North OE W,Lapaiki,Area,HI,15,Maui,9,205511N,1565845W,20.91968,-156.97909,,,,,1981-02-06T00:00:00.000Z,2012-09-21T00:00:00.000Z
-156.978221483572781,20.922314355348057,3403,361729,8,26,Lanai North OE W,Lapaiki Gulch,Valley,HI,15,Maui,9,205520N,1565842W,20.9222989,-156.9782501,205248N,1565840W,20.879905,-156.977853,1981-02-06T00:00:00.000Z,2016-10-19T00:00:00.000Z
-155.866881515918806,20.184089173225079,3404,361730,281,922,Hawi,Lapakahi,Civil,HI,15,Hawaii,1,201103N,1555201W,20.1841667,-155.8669444,,,,,2003-09-30T00:00:00.000Z,
-156.927930195430037,21.097484791432763,3405,361731,705,2313,Kamalo,Lapakohana,Summit,HI,15,Maui,9,210551N,1565541W,21.0974698,-156.927924,,,,,2003-09-30T00:00:00.000Z,2018-09-11T00:00:00.000Z
-156.722425209312775,21.145092380410738,3406,361732,73,239,Halawa,Lapaʻulaʻula Gulch,Valley,HI,15,Maui,9,210842N,1564321W,21.1450015,-156.7224883,210815N,1564443W,21.137559,-156.745331,2003-09-30T00:00:00.000Z,2018-12-13T00:00:00.000Z
-155.892385469007053,19.363281596290498,3407,361733,0,0,Kauluoa Point,Lapawai Bay,Bay,HI,15,Hawaii,1,192148N,1555333W,19.3632191,-155.8923697,,,,,1981-02-06T00:00:00.000Z,2013-01-10T00:00:00.000Z
-156.163206356603297,20.620736626466776,3408,361734,4,13,Kaupo,Lapehu Point,Cape,HI,15,Maui,9,203715N,1560948W,20.6206948,-156.1633158,,,,,1981-02-06T00:00:00.000Z,2012-09-05T00:00:00.000Z
-155.090204850395367,19.752328190204825,3409,361735,15,49,Papaikou,Lau Hue Point,Cape,HI,15,Hawaii,1,194508N,1550525W,19.7522344,-155.0901854,,,,,1981-02-06T00:00:00.000Z,2013-01-23T00:00:00.000Z
-155.16411800789632,19.731331292032344,3410,361736,471,1545,Piihonua,Laualu Stream,Stream,HI,15,Hawaii,1,194353N,1550951W,19.7312603,-155.1641393,194435N,1551149W,19.743156,-155.197077,1981-02-06T00:00:00.000Z,2013-03-26T00:00:00.000Z
-155.328612872515322,20.036321853435105,3411,361737,0,0,Kukaiau,Lauhala Gulch,Valley,HI,15,Hawaii,1,200210N,1551943W,20.0362108,-155.3285914,195903N,1552055W,19.984064,-155.348697,2003-09-30T00:00:00.000Z,2016-10-28T00:00:00.000Z
-155.157220751355197,19.709908051347902,3412,361738,404,1325,Piihonua,Lauiole Falls,Falls,HI,15,Hawaii,1,194235N,1550926W,19.7097519,-155.1572252,,,,,1981-02-06T00:00:00.000Z,2011-04-18T00:00:00.000Z
-155.480284522232608,20.089727198801846,3413,361739,245,804,Honokaa,Lauka,Civil,HI,15,Hawaii,1,200523N,1552849W,20.0897222,-155.4802778,,,,,1981-02-06T00:00:00.000Z,
-158.013424736902266,21.364515813389293,3414,361740,3,10,Pearl Harbor,Laulaunui Island,Island,HI,15,Honolulu,3,212152N,1580048W,21.3644802,-158.0134284,,,,,1981-02-06T00:00:00.000Z,2012-11-13T00:00:00.000Z
-157.754514668902146,21.312086692221449,3415,361741,210,689,Koko Head,Laulaupoe Gulch,Valley,HI,15,Honolulu,3,211843N,1574516W,21.3119295,-157.7545033,211917N,1574459W,21.321494,-157.749847,1981-02-06T00:00:00.000Z,2016-11-02T00:00:00.000Z
