X,Y,objectid,map_id,name,latitude,longitude,parcel_own,parcel_ope,access_typ,access_sur,dedicated_,shore_type,restroom,showers,picnic_fac,trash_rece,water,phone,lifeguard,alt_name,sign_word
-157.759935594059186,21.276216574757768,24,24,Wailupe Beach Park,21.27622,-157.75995,State of Hawaii and City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass,19,Rock,Yes,Yes,Yes,Yes,Yes,Yes,No,Wailupe Beach Park,Wailupe Beach Park
-157.75502559300142,21.277636574950279,25,25,Wailupe Access on Hind Drive,21.27764,-157.75504,State of Hawaii,State of Hawaii,Vertical,Dirt,6,Rock,No,No,No,No,No,No,No,"Wailupe, Hind Drive",N/A
-157.745245592781373,21.279516575199569,26,26,Kawaiku'i Beach Park,21.27952,-157.74526,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass,45,Sand,Yes,Yes,Yes,Yes,Yes,Yes,No,Kawaiku'i Beach Park,Kawaiku'I Beach Park
-157.738265593020458,21.280926575585539,27,27,Kalanianiole,21.28093,-157.73828,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Gravel,0,Sand,No,No,No,No,No,No,No,Kalanianiole,"128A, Beach Right Of Way"
-157.728125592885618,21.281266575748205,28,28,Paiko Drive,21.28127,-157.72814,MPC First LLC,City & County of Honolulu,Vertical and Horizontal,Sand,4,Sand,No,No,No,No,No,No,No,Paiko Lagoon,127A Beach Right Of Way Pedestrain Traffic Only
-157.723005592357595,21.284506575691317,29,29,Paiko Lagoon,21.28451,-157.72302,State of Hawaii,State of Hawaii,Vertical and Horizontal,Sand,0,Rock,No,No,No,No,No,No,No,Kuliouou - Paiko,Various
-157.721085592442364,21.284276576533234,30,30,Kuli'ou'ou Beach Park,21.28428,-157.7211,State of Hawaii,City & County of Honolulu,Vertical and Horizontal,Sand,27,Sand,Yes,Yes,Yes,Yes,Yes,No,No,Kuli'ou'ou Beach Park,Kuli'Ou'Ou Beach Park
-157.713475592432445,21.281896575663232,31,31,Maunalua Bay Beach Park,21.2819,-157.71349,State of Hawaii and City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass,0,Sand,Yes,No,Yes,Yes,No,No,No,Maunalua Park,Various
-157.709918891472995,21.266196575591611,32,32,Koke'e Beach Right of Way,21.2662,-157.709933,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass,0,Cliff,No,No,No,Yes,No,No,No,China Walls,"121A, Various"
-157.711405591798325,21.26160657514453,33,33,Koko Kai Beach Right Of Way,21.26161,-157.71142,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass and Dirt,0,Cliff,No,No,No,Yes,No,No,No,China Walls,"120A, Koko Kai Mini Beach Park"
-157.707735591691915,21.25977657520383,34,34,Lumahai Street,21.25978,-157.70775,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Rocky,0,Cliff,No,No,No,No,No,No,No,Spitting Caves,"119A, Various"
-157.693665591346274,21.275176575723385,35,35,Hanauma Bay Nature Preserve and State Underwater Park,21.27518,-157.69368,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Paved,99,Rock,No,No,No,No,No,No,No,Koko Head Regional Park,Various
-157.685635591253771,21.276426576176274,36,36,Lanai Lookout Area,21.27643,-157.68565,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Rocky,22,Cliff,No,No,No,No,No,No,No,Koko Head Regional Park,Various
-157.683245590634669,21.277626576096502,37,37,Koko Head Regional Park,21.27763,-157.68326,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Rocky,6,Cliff,No,No,No,No,No,No,No,"Lanai Lookout; Bamboo Ridge",N/A
-157.677535590618845,21.280316576452936,38,38,Bamboo Ridge,21.28032,-157.67755,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Rocky,0,Cliff,No,No,No,No,No,No,No,Koko Head Regional Park,N/A
-157.676975590764954,21.282016576305839,39,39,Eternity Beach - Cockroach Cove,21.28202,-157.67699,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Rocky,40,"Sand, Rock",No,No,No,No,No,No,No,Koko Head Regional Park,N/A
-157.66914559037528,21.287096577347036,40,40,Sandy Beach,21.2871,-157.66916,State of Hawaii and City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Sand,148,Sand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sandy Beach,Various
-157.662075590325202,21.291806577319292,41,41,Makapu'u Point Wayside Park,21.29181,-157.66209,State of Hawaii,State of Hawaii,Vertical and Horizontal,Sand,0,Rock,No,No,No,Yes,No,No,No,N/A,Various
-157.649105589872846,21.304677578582293,42,42,Makapu'u Point Wayside Park,21.304681,-157.64912,State of Hawaii,State of Hawaii,Vertical and Horizontal,Rocky,38,Rock,No,No,No,No,No,No,No,Makapu'u Tide Pools,N/A
-157.660755590540646,21.313296578134704,43,43,Makapu'u Beach Park,21.3133,-157.66077,DHHL,City & County of Honolulu,Horizontal,Paved,37,Sand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,makapuu beach,Various
-157.664735590946066,21.316026578301098,44,44,Kaupo Beach Park,21.31603,-157.66475,DHHL,Licensed to City & County of Honolulu,Vertical and Horizontal,Sand,70,Sand,Yes,Yes,Yes,Yes,Yes,No,No,Kaupo Beach Park,Kaupo
-157.682155591501129,21.325626579362112,45,45,Kaiona Beach Park,21.32563,-157.68217,DHHL,Licensed to City & County of Honolulu,Vertical and Horizontal,Grass,25,Sand,Yes,Yes,Yes,Yes,Yes,No,No,Kaiona Beach Park,Kaione Beach Park
-157.693625591908557,21.332456578943688,46,46,Waimanalo Beach Park,21.33246,-157.69364,State of Hawaii & DHHL (Licensed to City),City & County of Honolulu,Vertical and Horizontal,Grass,108,Sand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Waimanalo Beach Park,Waimanalo Beach Park
-157.695735592074186,21.33415657937293,47,47,Laumilo I,21.33416,-157.69575,State of Hawaii,City & County of Honolulu,Vertical and Horizontal,Grass,0,Sand,No,No,No,No,No,No,No,Laumilo I,"101B, Public Right Of Way To Beach"
-157.696315592294667,21.335016579315543,48,48,Laumilo H,21.33502,-157.69633,State of Hawaii,City & County of Honolulu,Vertical and Horizontal,Grass,0,Sand,No,No,No,No,No,No,No,Laumilo H,"101A, Public Right Of Way To Beach"
-157.69684559176082,21.335776579385428,49,49,Laumilo G,21.33578,-157.69686,State of Hawaii,City & County of Honolulu,Vertical and Horizontal,Grass,0,Sand,No,No,No,No,No,No,No,Laumilo G,"100G, Public Right Of Way To Beach"
-157.697355591973349,21.336596579217193,50,50,Laumilo F,21.3366,-157.69737,State of Hawaii,City & County of Honolulu,Vertical and Horizontal,Grass,0,Sand,No,No,No,No,No,No,No,Laumilo F,"100F, Public Right Of Way To Beach"
-157.697945591715325,21.337426579810803,51,51,Laumilo E,21.33743,-157.69796,State of Hawaii,City & County of Honolulu,Vertical and Horizontal,Grass,0,Sand,No,No,No,No,No,No,No,Laumilo E,"100E, Public Right Of Way To Beach"
-157.698525591967467,21.33822657922595,52,52,Laumilo D,21.33823,-157.69854,State of Hawaii,City & County of Honolulu,Vertical and Horizontal,Grass,0,Sand,No,No,No,No,No,No,No,Laumilo D,"100D, Public Right Of Way To Beach"
-157.699095591857343,21.339046579219229,53,53,Laumilo C,21.33905,-157.69911,State of Hawaii,City & County of Honolulu,Vertical and Horizontal,Grass,0,Sand,No,No,No,No,No,No,No,Laumilo C,"100C, Public Right Of Way To Beach"
-157.699575592675842,21.339906579876804,54,54,Laumilo B,21.33991,-157.69959,State of Hawaii,City & County of Honolulu,Vertical and Horizontal,Grass,0,Sand,No,No,No,No,No,No,No,Laumilo B,"100B, Public Right Of Way To Beach"
-157.70008559273839,21.340696579973734,55,55,Laumilo A,21.3407,-157.7001,State of Hawaii,City & County of Honolulu,Vertical and Horizontal,Grass,0,Sand,No,No,No,No,No,No,No,Laumilo A,"100A, Public Right Of Way To Beach"
-157.702285592235739,21.344296579975868,56,56,Waimanalo Bay Beach Park,21.3443,-157.7023,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass,220,Sand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Waimanalo Bay Beach Park,Waimanalo Bay Beach Park
-157.710115592432118,21.345556579626308,57,57,Bellows Field Beach Park,21.34556,-157.71013,United States of America,City & County of Honolulu,Vertical and Horizontal,Grass,65,Sand,Yes,Yes,Yes,Yes,Yes,No,Yes,Bellows Field Beach Park,No Vehiles On The Beach   The Following Are Prohibited…
-157.709977263600308,21.383352142412665,58,58,Mokulua Drive A,21.383356,-157.709992,Lanikai Community Association,City & County of Honolulu,Vertical and Horizontal,Sand,0,Sand,No,No,No,Yes,No,No,No,N/A,"94B, Public Right Of Way To Beach"
-157.712096703560235,21.387196582320691,59,59,Mokulua Drive B,21.3872,-157.712111,Lanikai Community Association,City & County of Honolulu,Vertical and Horizontal,Sand,0,Sand,No,No,No,Yes,No,No,No,Mokulua Drive B,94A
-157.715613373705025,21.391385472412079,60,60,Mokulua Drive C,21.391389,-157.715628,Lanikai Community Association,City & County of Honolulu,Vertical and Horizontal,Sand,0,Sand,No,No,No,Yes,No,No,No,Mokulua Drive C,"93A, Public Right Of Way To Beach"
-157.716399483286096,21.392449362873204,61,61,Mokulua Drive D,21.392453,-157.716414,Lanikai Community Association,Lanikai Community Association,Vertical and Horizontal,Sand,0,Sand,No,No,No,Yes,No,No,No,Mokulua Drive D,Public Right Of Way To Beach
