objectid,name,own,tmk,type,createdby,agency,publishdate,featureuid,createdate,modifieddate,modifiedby,deliverydate,sourceid,severity,comments,st_areashape,st_lengthshape
125,Kahawai Beach Support Park,Other,59007021,beach, , ,1899-12-30T00:00:00.000Z,{C56B608C-9C8B-473B-B3D9-783B21E1A517},,,,2016-09-13T00:00:00.000Z,,,,4392.62610427569,0
126,Ke Iki Road C,Other,59003,road, , ,1899-12-30T00:00:00.000Z,{65345E7F-C1CA-4871-BC60-0F7223670A02},,,,2016-09-13T00:00:00.000Z,,,,424.660856857436,0
260,Upena Street,Other,84007012,road, , ,1899-12-30T00:00:00.000Z,{92C36121-A3D6-48DF-829C-8EF9D5642B7B},,,,2016-09-13T00:00:00.000Z,,,,94.8715562755007,0
129,Pupukea Beach Park,State,59004019,beach, , ,1899-12-30T00:00:00.000Z,{5788355E-8501-4B77-B37F-1841BBC23D5B},,,,2016-09-13T00:00:00.000Z,,,,65864.7926737918,0
137,Laie Beach Park,City,55001049,beach, , ,1899-12-30T00:00:00.000Z,{7C6AA77D-3907-4671-AE24-686C59C0E323},,,,2016-09-13T00:00:00.000Z,,,,5997.35042492301,0
130,Laie Point State Wayside,State,,wayside, , ,1899-12-30T00:00:00.000Z,{E69FE9F3-299B-49D3-85F4-417F00DD2837},,,,2016-09-13T00:00:00.000Z,,,,14281.1073462578,0
131,Kamehameha Highway,City,55002073,road, , ,1899-12-30T00:00:00.000Z,{6C8ED5B2-AE0F-4245-81BF-A042A22DBFB5},,,,2016-09-13T00:00:00.000Z,,,,222.236737063914,0
132,Waimea Bay Beach Park,City,59005019,beach, , ,1899-12-30T00:00:00.000Z,{B235E456-040B-4E3D-8908-4405025E16B3},,,,2016-09-13T00:00:00.000Z,,,,7480.33043969341,0
133,Puu O Mahuka State Monument,State,59005068,monument, , ,1899-12-30T00:00:00.000Z,{38C4EA7A-1A42-4F60-B3E8-0C5F6B1CA0D8},,,,2016-09-13T00:00:00.000Z,,,,16270.2036666079,0
134,Waimea Bay Beach Park,City,61001003,beach, , ,1899-12-30T00:00:00.000Z,{FD8D4774-C35B-4406-A9C7-E15FFD2F0828},,,,2016-09-13T00:00:00.000Z,,,,106125.164806313,0
135,Uppers Beach Park,Other,61003027,beach, , ,1899-12-30T00:00:00.000Z,{860A6D5A-9014-46F3-8BB3-7750F0EE0458},,,,2016-09-13T00:00:00.000Z,,,,2851.09644116562,0
136,Laie Beach Park,City,55001048,beach, , ,1899-12-30T00:00:00.000Z,{6C3320ED-2E9F-447A-9BA9-275477ABD0BE},,,,2016-09-13T00:00:00.000Z,,,,6795.93511603262,0
261,Moua Street,City,84005012,road, , ,1899-12-30T00:00:00.000Z,{24C78D80-9F36-4CAD-B642-FA243540C981},,,,2016-09-13T00:00:00.000Z,,,,103.926131249755,0
138,Laie Beach Park,State,55001050,beach, , ,1899-12-30T00:00:00.000Z,{B04AFA7D-3425-4538-B760-B2124450D2A9},,,,2016-09-13T00:00:00.000Z,,,,5638.28272144821,0
139,Leftovers Beach Park,Other,61012028,beach, , ,1899-12-30T00:00:00.000Z,{34FDE2E2-B068-4273-94F1-0291B6B5E8A6},,,,2016-09-13T00:00:00.000Z,,,,2852.51160514303,0
140,Leftovers Beach Park,Other,61012029,beach, , ,1899-12-30T00:00:00.000Z,{44E11240-475D-489C-AD76-BFBCA52847EE},,,,2016-09-13T00:00:00.000Z,,,,1688.71931678117,0
141,Kokololio Beach Park,City,55001002,beach, , ,1899-12-30T00:00:00.000Z,{E267E220-9E91-4148-8FF3-02576DCD0023},,,,2016-09-13T00:00:00.000Z,,,,56726.5441259637,0
142,Kawailoa Beach Park,Other,61008017,beach, , ,1899-12-30T00:00:00.000Z,{E59CD4AE-6AC9-4895-9691-814071B461EE},,,,2016-09-13T00:00:00.000Z,,,,2784.56832245639,0
143,Kawailoa Beach Park,Other,61008018,beach, , ,1899-12-30T00:00:00.000Z,{D9C9DAE9-05D1-4BF3-864A-DEE0BF779DA2},,,,2016-09-13T00:00:00.000Z,,,,1545.01904585637,0
144,Chun's Reef Beach Support Park,State,61008026,beach, , ,1899-12-30T00:00:00.000Z,{C10C5A1C-8631-4668-A5EA-B0E0903018B3},,,,2016-09-13T00:00:00.000Z,,,,7836.42873466983,0
145,Laniakea Beach Support Park,Other,61005014,beach, , ,1899-12-30T00:00:00.000Z,{F8FD4ED3-E8E9-47F1-8511-86AA359334E4},,,,2016-09-13T00:00:00.000Z,,,,7660.51531420168,0
146,Hauula Beach Park,State,54002022,beach, , ,1899-12-30T00:00:00.000Z,{D869DD6E-48BF-48EE-B26E-D1ADEC54AB90},,,,2016-09-13T00:00:00.000Z,,,,23925.9899498815,0
147,Papailoa Road,Other,61004091,road, , ,1899-12-30T00:00:00.000Z,{2FE841F6-DB96-4FA6-9752-CFCB41F13980},,,,2016-09-13T00:00:00.000Z,,,,256.536671979468,0
148,Hauula Beach Park,State,54001032,beach, , ,1899-12-30T00:00:00.000Z,{0569461D-41B8-4C67-8593-C06747E45112},,,,2016-09-13T00:00:00.000Z,,,,3895.43128120089,0
149,Hauula Beach Park,Other,54001033,beach, , ,1899-12-30T00:00:00.000Z,{D4559104-7BD1-48BD-AFBC-3918435C3499},,,,2016-09-13T00:00:00.000Z,,,,170.45382220189,0
150,Hauula Beach Park,City,54001064,beach, , ,1899-12-30T00:00:00.000Z,{5D759A88-957D-4D90-A2D5-9781F9BD3082},,,,2016-09-13T00:00:00.000Z,,,,1253.51744878679,0
151,Hauula Beach Park,City,54001035,beach, , ,1899-12-30T00:00:00.000Z,{9F9FEA12-6E80-4554-BB26-DF6F72EC7C3F},,,,2016-09-13T00:00:00.000Z,,,,334.370566186497,0
152,Hauula Beach Park,City,54001036,beach, , ,1899-12-30T00:00:00.000Z,{7E0FAA72-CEEE-4A3E-AEF6-F1680569C8F1},,,,2016-09-13T00:00:00.000Z,,,,587.497282252744,0
153,Hauula Beach Park,City,54001038,beach, , ,1899-12-30T00:00:00.000Z,{1CDB785C-6A23-461B-915A-1E4543652BD6},,,,2016-09-13T00:00:00.000Z,,,,836.244588771342,0
154,Hauula Community Park,State,54001050,community, , ,1899-12-30T00:00:00.000Z,{70325B3B-6D69-47FE-A982-F45FA9F95F48},,,,2016-09-13T00:00:00.000Z,,,,598.203747776796,0
155,Hauula Community Park,City,54001014,community, , ,1899-12-30T00:00:00.000Z,{30F808DD-75E4-4DF7-B676-F8A66DD26666},,,,2016-09-13T00:00:00.000Z,,,,275.041640987879,0
156,Hauula Community Park,State,54001008,community, , ,1899-12-30T00:00:00.000Z,{BE7DA126-FCFE-43B0-8737-238FA3D76BE5},,,,2016-09-13T00:00:00.000Z,,,,666.573154100763,0
157,Hauula Community Park,State,54001010,community, , ,1899-12-30T00:00:00.000Z,{A771F47F-A04E-4584-83AA-078E3498B957},,,,2016-09-13T00:00:00.000Z,,,,5853.4656152256,0
158,Hauula Community Park,State,54001039,community, , ,1899-12-30T00:00:00.000Z,{66E321DB-9A4F-4E68-A539-6064B5F41BB4},,,,2016-09-13T00:00:00.000Z,,,,48.8707563382508,0
