OBJECTID_1,ISLAND,TYPE,NAME,MANAGEDBY,NOTES,ShapeSTArea,ShapeSTLength
76,Oahu,sw,LAIE POINT STATE WAYSIDE,DOSP, ,153809.066314697,3077.87455294618
77,Oahu,bs,MOKUALAI ISLAND SEA BIRD SANCTUARY,DOFAW, ,22092.6278686523,634.300116425646
78,Oahu,sm,PUU O MAHUKA HEIAU STATE MONUMENT,DOSP, ,175283.468109131,1817.63764927785
79,Oahu,fr,HAUULA FOREST RESERVE,DOFAW, ,61712717.6095886,51001.7371079232
80,Oahu,sp,SACRED FALLS STATE PARK,DOSP, ,59825704.0159149,56922.488926014
81,Oahu,fr,KAIPAPAU FOREST RESERVE,DOFAW, ,42278149.4698944,32796.2940810795
82,Oahu,gma,KUAOKALA GAME MANAGEMENT AREA,DOFAW, ,83024548.0592651,58701.1003941479
83,Oahu,sp,AHUPUAA O KAHANA STATE PARK,DOSP, ,227317730.486053,83620.7234089977
84,Oahu,fr,KUAOKALA FOREST RESERVE,DOFAW, ,16223852.9410095,24680.4026328116
85,Oahu,fr,MOKULEIA FOREST RESERVE,DOFAW, ,23479943.4385071,31044.5915940593
86,Oahu,nar,PAHOLE NATURAL AREA RESERVE,DOFAW, ,28689782.9402161,30066.9325889626
87,Oahu,fr,MOKULEIA FOREST RESERVE,DOFAW, ,122201339.93399,65444.157477509
88,Oahu,fr,EWA FOREST RESERVE (POAMOHO SEC.),DOFAW, ,201470864.148392,82764.8473699997
89,Oahu,sp,KAENA POINT STATE PARK,DOSP, ,68118862.3173981,126603.253604033
