objectid,ahupuaa,moku,mokupuni,other,gisacres,createdby,agency,publishdat,createdate,modifiedda,modifiedby,deliveryda,sourceid,severity,comments,st_areashape,st_lengthshape
27,Kalalau,Nāpali,Kauaʻi, ,2711.968, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,10975344.032565,0
91,‘Aha‘ino 2,Kona,Molokaʻi, ,246.2211, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,996419.005601267,0
92,Pūʻelelū,Kona,Molokaʻi, ,150.5057, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,609073.737174331,0
28,Honopū,Nāpali,Kauaʻi, ,2201.501, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,8909468.85194317,0
93,Pūniuʻōhua 2,Kona,Molokaʻi, ,109.9763, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,445057.645750026,0
94,Pūniuʻōhua 1,Kona,Molokaʻi, ,133.8750, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,541771.99626629,0
29,ʻAliomanu,Koʻolau,Kauaʻi, ,1455.821, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,5891744.36519242,0
30,Anahola,Koʻolau,Kauaʻi, ,6307.050, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,25524797.8515608,0
31,Waimea,Kona,Kauaʻi, ,86903.93, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,351697090.041942,0
36,North Olohena,Puna,Kauaʻi, ,951.1587, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,3849378.38185321,0
99,Hoʻolehua,Kona,Molokaʻi, ,235.9790, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,954968.26117234,0
32,Kamalomaloʻo,Puna,Kauaʻi, ,2366.246, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,9576269.54640855,0
33,Keālia,Puna,Kauaʻi, ,6659.773, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,26952317.7245954,0
34,Kapaʻa,Puna,Kauaʻi, ,7807.533, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,31597371.7569285,0
37,Waipouli,Puna,Kauaʻi, ,2920.756, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,11820415.6459111,0
38,Makaweli,Kona,Kauaʻi, ,37856.97, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,153205782.101047,0
39,South Olohena,Puna,Kauaʻi, ,1201.411, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,4862162.10486572,0
40,Hanamāʻulu,Puna,Kauaʻi, ,18253.64, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,73873310.6638553,0
41,Hanapēpē,Kona,Kauaʻi, ,16570.19, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,67059003.54657,0
105,Ka‘ili‘ula,Kona,Molokaʻi, ,90.48282, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,366170.022223377,0
42,Haʻikū,Puna,Kauaʻi, ,12390.71, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,50145609.7798459,0
44,Kalapakī,Puna,Kauaʻi, ,2996.536, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,12127060.5583921,0
45,Wahiawa,Kona,Kauaʻi, ,5829.455, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,23591601.4728518,0
52,Pāʻā,Kona,Kauaʻi, ,3879.986, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,15702382.8944976,0
46,Kalāheo,Kona,Kauaʻi, ,5365.263, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,21713035.0503615,0
